0,1,2,3,4,5,6,7
"realme 9 (Sunburst Gold, 128 GB)",realme,6 GB RAM,128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,5000 mAh Lithium Ion Battery,20999,PhoneDB
"realme 9 (Meteor Black, 128 GB)",realme,6 GB RAM,128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,5000 mAh Lithium Ion Battery,20999,PhoneDB
"realme 9 (Stargaze White, 128 GB)",realme,6 GB RAM,128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,5000 mAh Lithium Ion Battery,20999,PhoneDB
"realme 10 Pro 5G (Nebula Blue, 128 GB)",realme,6 GB RAM,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,20999,PhoneDB
"realme 10 Pro 5G (Dark Matter, 128 GB)",realme,6 GB RAM,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,20999,PhoneDB
"realme 10 Pro 5G (Hyperspace, 128 GB)",realme,6 GB RAM,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,20999,PhoneDB
"POCO M4 Pro 5G (Power Black, 128 GB)",POCO,8 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium-ion Polymer Battery,21999,PhoneDB
"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,8 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium-ion Polymer Battery,21999,PhoneDB
"MOTOROLA G60 (Moonless, 128 GB)",MOTOROLA,6 GB RAM,128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,6000 mAh Battery,21999,PhoneDB
"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,6 GB RAM,128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,21999,PhoneDB
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,6 GB RAM,128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,21999,PhoneDB
"OPPO F19s (Glowing Gold, 128 GB)",OPPO,6 GB RAM,128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,5000 mAh Battery,22990,PhoneDB
"realme 9 (Meteor Black, 128 GB)",realme,8 GB RAM,128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,5000 mAh Lithium Ion Battery,22999,PhoneDB
"realme 9 (Stargaze White, 128 GB)",realme,8 GB RAM,128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,5000 mAh Lithium Ion Battery,22999,PhoneDB
"realme 9 (Sunburst Gold, 128 GB)",realme,8 GB RAM,128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,5000 mAh Lithium Ion Battery,22999,PhoneDB
"realme 10 Pro 5G (Dark Matter, 128 GB)",realme,8 GB RAM,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,22999,PhoneDB
"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,6 GB RAM,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Lithium-ion Polymer Battery,23999,PhoneDB
"POCO X4 Pro 5G (Yellow, 128 GB)",POCO,6 GB RAM,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Lithium-ion Polymer Battery,23999,PhoneDB
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,6 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,23999,PhoneDB
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,6 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,23999,PhoneDB
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",SAMSUNG,6 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,23999,PhoneDB
"POCO X4 Pro 5G (Laser Black, 128 GB)",POCO,6 GB RAM,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Lithium-ion Polymer Battery,23999,PhoneDB
"realme 10 Pro+ 5G (Dark Matter, 128 GB)",realme,6 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,25999,PhoneDB
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",realme,6 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,25999,PhoneDB
"realme 10 Pro+ 5G (Hyperspace, 128 GB)",realme,6 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,25999,PhoneDB
"realme 10 Pro+ 5G (Hyperspace, 128 GB)",realme,8 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,27999,PhoneDB
"OPPO F19 Pro+ 5G (Space Silver, 128 GB)",OPPO,8 GB RAM,128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,4310 mAh Lithium-ion Polymer Battery,29990,PhoneDB
"OPPO F19 Pro+ 5G (Fluid Black, 128 GB)",OPPO,8 GB RAM,128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,4310 mAh Lithium-ion Polymer Battery,29990,PhoneDB
"REDMI A1 (Black, 32 GB)",REDMI,2 GB RAM,32 GB ROM,16.56 cm (6.52 inch) Display,5000 mAh Battery,7998,PhoneDB
