Name,Brand,Ram (GB),Rom (GB),Display (cm),Battery (mAh),Price,Website,,,,,,
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,6,128,16.64,5000,21999,PhoneDB,,,,,,
"OPPO K10 (Blue Flame, 128 GB)",OPPO,6,128,16.74,5000,18999,PhoneDB,,,,,,
"OPPO F19s (Glowing Gold, 128 GB)",OPPO,6,128,16.33,5000,22990,PhoneDB,,,,,,
"POCO X4 Pro 5G (Yellow, 128 GB)",POCO,6,128,16.94,5000,23999,PhoneDB,,,,,,
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,6,128,16.76,5000,23999,PhoneDB,,,,,,
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,6,128,16.76,5000,23999,PhoneDB,,,,,,
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",SAMSUNG,6,128,16.76,5000,23999,PhoneDB,,,,,,
"POCO X4 Pro 5G (Laser Black, 128 GB)",POCO,6,128,16.94,5000,23999,PhoneDB,,,,,,
"Infinix Hot 12 (Exploratory Blue, 64 GB)",Infinix,4,64,17.32,6000,12999,PhoneDB,,,,,,
"Infinix Hot 12 (7° Purple, 64 GB)",Infinix,4,64,17.32,6000,12999,PhoneDB,,,,,,
"Infinix Hot 12 (Turquoise Cyan, 64 GB)",Infinix,4,64,17.32,6000,12999,PhoneDB,,,,,,
"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,6,64,16.33,5000,16999,PhoneDB,,,,,,
